127.0.0.1 - - [09/Feb/2026:12:15:07 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/ HTTP/1.1" 200 16105
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/animate.css/animate.min.css HTTP/1.1" 200 71750
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/css/style.css HTTP/1.1" 200 40750
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16468
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/img/why-us.jpg HTTP/1.1" 200 78239
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/img/features-1.svg HTTP/1.1" 200 66541
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/img/features-2.svg HTTP/1.1" 200 19234
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/img/features-4.svg HTTP/1.1" 200 25845
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:30 +0530] "GET /MJCC16-2025/assets/img/features-3.svg HTTP/1.1" 200 52593
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 67742
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/waypoints/noframework.waypoints.js HTTP/1.1" 200 21112
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143629
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/js/main.js HTTP/1.1" 200 5595
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:31 +0530] "GET /MJCC16-2025/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:33 +0530] "GET /MJCC16-2025/assets/img/hero-bg.jpg HTTP/1.1" 200 234267
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:33 +0530] "GET /MJCC16-2025/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 200 112440
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:34 +0530] "GET /MJCC16-2025/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:15:34 +0530] "GET /MJCC16-2025/assets/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:19:55 +0530] "GET /MJCC16-2025/groupmember.html HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:19:55 +0530] "GET /MJCC16-2025/pexels-simon-berger-1323550.jpg HTTP/1.1" 200 2496509
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:19:55 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:20:10 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:20:10 +0530] "GET /MJCC16-2025/css/bootstrap.min.css HTTP/1.1" 200 192269
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:20:33 +0530] "GET /MJCC16-2025/groupmanager.html HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:20:40 +0530] "POST /MJCC16-2025/groupmanger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:20:40 +0530] "GET /MJCC16-2025/manager.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:20:40 +0530] "GET /MJCC16-2025/pexels-dominika-roseclay-1036841.jpg HTTP/1.1" 200 1324566
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:22:00 +0530] "GET /MJCC16-2025/creategroup.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:22:33 +0530] "GET /MJCC16-2025/groupcreation?group=Students&size=400 HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:23:02 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:23:06 +0530] "GET /MJCC16-2025/index.html HTTP/1.1" 200 16105
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:23:35 +0530] "GET /MJCC16-2025/Register1.jsp HTTP/1.1" 200 2903
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:25 +0530] "POST /MJCC16-2025/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:25 +0530] "GET /MJCC16-2025/groupmanager.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:38 +0530] "POST /MJCC16-2025/groupmanger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:38 +0530] "GET /MJCC16-2025/groupmanager.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:50 +0530] "POST /MJCC16-2025/groupmanger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:50 +0530] "GET /MJCC16-2025/manager.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:53 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:57 +0530] "GET /MJCC16-2025/approvemember?userid=1994 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:24:57 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:26:45 +0530] "GET /MJCC16-2025/Register1.jsp HTTP/1.1" 200 2903
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:33 +0530] "POST /MJCC16-2025/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:33 +0530] "GET /MJCC16-2025/groupmanager.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:40 +0530] "POST /MJCC16-2025/groupmanger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:40 +0530] "GET /MJCC16-2025/manager.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:44 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:46 +0530] "GET /MJCC16-2025/approvemember?userid=2029 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:27:46 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:28:55 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:29:13 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:29:39 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:29:57 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:24 +0530] "POST /MJCC16-2025/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:24 +0530] "GET /MJCC16-2025/groupmanager.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:36 +0530] "POST /MJCC16-2025/groupmanger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:36 +0530] "GET /MJCC16-2025/manager.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:41 +0530] "GET /MJCC16-2025/index.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:41 +0530] "GET /MJCC16-2025/pexels-francesco-ungaro-2325446.jpg HTTP/1.1" 200 2058002
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:31:53 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:06 +0530] "POST /MJCC16-2025/groupmanger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:06 +0530] "GET /MJCC16-2025/manager.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:10 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:16 +0530] "GET /MJCC16-2025/approvemember?userid=2159 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:16 +0530] "GET /MJCC16-2025/viewgroupmembers.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:34 +0530] "POST /MJCC16-2025/Login HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [09/Feb/2026:12:32:52 +0530] "GET /MJCC16-2025/publicver.jsp HTTP/1.1" 200 1280
